unit,cycle,RUL
498,33,88
498,34,87
498,35,86
498,36,85
498,37,84
498,38,83
498,39,82
498,40,81
498,41,80
498,42,79
498,43,78
498,44,77
498,45,76
498,46,75
498,47,74
498,48,73
498,49,72
498,50,71
498,51,70
498,52,69
498,53,68
498,54,67
498,55,66
498,56,65
498,57,64
498,58,63
498,59,62
498,60,61
498,61,60
498,62,59
498,63,58
498,64,57
498,65,56
498,66,55
498,67,54
498,68,53
498,69,52
498,70,51
498,71,50
498,72,49
498,73,48
498,74,47
498,75,46
498,76,45
498,77,44
498,78,43
498,79,42
498,80,41
498,81,40
498,82,39
498,83,38
498,84,37
498,85,36
498,86,35
498,87,34
498,88,33
498,89,32
498,90,31
498,91,30
498,92,29
498,93,28
498,94,27
498,95,26
498,96,25
498,97,24
498,98,23
498,99,22
498,100,21
498,101,20
498,102,19
498,103,18
498,104,17
498,105,16
498,106,15
498,107,14
498,108,13
498,109,12
498,110,11
498,111,10
498,112,9
498,113,8
498,114,7
498,115,6
498,116,5
498,117,4
498,118,3
498,119,2
498,120,1
498,121,0
499,1,191
499,2,190
499,3,189
499,4,188
499,5,187
499,6,186
499,7,185
499,8,184
499,9,183
499,10,182
499,11,181
499,12,180
499,13,179
499,14,178
499,15,177
499,16,176
499,17,175
499,18,174
499,19,173
499,20,172
499,21,171
499,22,170
499,23,169
499,24,168
499,25,167
499,26,166
499,27,165
499,28,164
499,29,163
499,30,162
499,31,161
499,32,160
499,33,159
499,34,158
499,35,157
499,36,156
499,37,155
499,38,154
499,39,153
499,40,152
499,41,151
499,42,150
499,43,149
499,44,148
499,45,147
499,46,146
499,47,145
499,48,144
499,49,143
499,50,142
499,51,141
499,52,140
499,53,139
499,54,138
499,55,137
499,56,136
499,57,135
499,58,134
499,59,133
499,60,132
499,61,131
499,62,130
499,63,129
499,64,128
499,65,127
499,66,126
499,67,125
499,68,124
499,69,123
499,70,122
499,71,121
499,72,120
499,73,119
499,74,118
499,75,117
499,76,116
499,77,115
499,78,114
499,79,113
499,80,112
499,81,111
499,82,110
499,83,109
499,84,108
499,85,107
499,86,106
499,87,105
499,88,104
499,89,103
499,90,102
499,91,101
499,92,100
499,93,99
499,94,98
499,95,97
499,96,96
499,97,95
499,98,94
499,99,93
499,100,92
499,101,91
499,102,90
499,103,89
499,104,88
499,105,87
499,106,86
499,107,85
499,108,84
499,109,83
499,110,82
499,111,81
499,112,80
499,113,79
499,114,78
499,115,77
499,116,76
499,117,75
499,118,74
499,119,73
499,120,72
499,121,71
499,122,70
499,123,69
499,124,68
499,125,67
499,126,66
499,127,65
499,128,64
499,129,63
499,130,62
499,131,61
499,132,60
499,133,59
499,134,58
499,135,57
499,136,56
499,137,55
499,138,54
499,139,53
499,140,52
499,141,51
499,142,50
499,143,49
499,144,48
499,145,47
499,146,46
499,147,45
499,148,44
499,149,43
499,150,42
499,151,41
499,152,40
499,153,39
499,154,38
499,155,37
499,156,36
499,157,35
499,158,34
499,159,33
499,160,32
499,161,31
499,162,30
499,163,29
499,164,28
499,165,27
499,166,26
499,167,25
499,168,24
499,169,23
499,170,22
499,171,21
499,172,20
499,173,19
499,174,18
499,175,17
499,176,16
499,177,15
499,178,14
499,179,13
499,180,12
499,181,11
499,182,10
499,183,9
499,184,8
499,185,7
499,186,6
499,187,5
499,188,4
499,189,3
499,190,2
499,191,1
499,192,0
500,1,125
500,2,124
500,3,123
500,4,122
500,5,121
500,6,120
500,7,119
500,8,118
500,9,117
500,10,116
500,11,115
500,12,114
500,13,113
500,14,112
500,15,111
500,16,110
500,17,109
500,18,108
500,19,107
500,20,106
500,21,105
500,22,104
500,23,103
500,24,102
500,25,101
500,26,100
500,27,99
500,28,98
500,29,97
500,30,96
500,31,95
500,32,94
500,33,93
500,34,92
500,35,91
500,36,90
500,37,89
500,38,88
500,39,87
500,40,86
500,41,85
500,42,84
500,43,83
500,44,82
500,45,81
500,46,80
500,47,79
500,48,78
500,49,77
500,50,76
500,51,75
500,52,74
500,53,73
500,54,72
500,55,71
500,56,70
500,57,69
500,58,68
500,59,67
500,60,66
500,61,65
500,62,64
500,63,63
500,64,62
500,65,61
500,66,60
500,67,59
500,68,58
500,69,57
500,70,56
500,71,55
500,72,54
500,73,53
500,74,52
500,75,51
500,76,50
500,77,49
500,78,48
500,79,47
500,80,46
500,81,45
500,82,44
500,83,43
500,84,42
500,85,41
500,86,40
500,87,39
500,88,38
500,89,37
500,90,36
500,91,35
500,92,34
500,93,33
500,94,32
500,95,31
500,96,30
500,97,29
500,98,28
500,99,27
500,100,26
500,101,25
500,102,24
500,103,23
500,104,22
500,105,21
500,106,20
500,107,19
500,108,18
500,109,17
500,110,16
500,111,15
500,112,14
500,113,13
500,114,12
500,115,11
500,116,10
500,117,9
500,118,8
500,119,7
500,120,6
500,121,5
500,122,4
500,123,3
500,124,2
500,125,1
500,126,0
501,1,202
501,2,201
501,3,200
501,4,199
501,5,198
501,6,197
501,7,196
501,8,195
501,9,194
501,10,193
501,11,192
501,12,191
501,13,190
501,14,189
501,15,188
501,16,187
501,17,186
501,18,185
501,19,184
501,20,183
501,21,182
501,22,181
501,23,180
501,24,179
501,25,178
501,26,177
501,27,176
501,28,175
501,29,174
501,30,173
501,31,172
501,32,171
501,33,170
501,34,169
501,35,168
501,36,167
501,37,166
501,38,165
501,39,164
501,40,163
501,41,162
501,42,161
501,43,160
501,44,159
501,45,158
501,46,157
501,47,156
501,48,155
501,49,154
501,50,153
501,51,152
501,52,151
501,53,150
501,54,149
501,55,148
501,56,147
501,57,146
501,58,145
501,59,144
501,60,143
501,61,142
501,62,141
501,63,140
501,64,139
501,65,138
501,66,137
501,67,136
501,68,135
501,69,134
501,70,133
501,71,132
501,72,131
501,73,130
501,74,129
501,75,128
501,76,127
501,77,126
501,78,125
501,79,124
501,80,123
501,81,122
501,82,121
501,83,120
501,84,119
501,85,118
501,86,117
501,87,116
501,88,115
501,89,114
501,90,113
501,91,112
501,92,111
501,93,110
501,94,109
501,95,108
501,96,107
501,97,106
501,98,105
501,99,104
501,100,103
501,101,102
501,102,101
501,103,100
501,104,99
501,105,98
501,106,97
501,107,96
501,108,95
501,109,94
501,110,93
501,111,92
501,112,91
501,113,90
501,114,89
501,115,88
501,116,87
501,117,86
501,118,85
501,119,84
501,120,83
501,121,82
501,122,81
501,123,80
501,124,79
501,125,78
501,126,77
501,127,76
501,128,75
501,129,74
501,130,73
501,131,72
501,132,71
501,133,70
501,134,69
501,135,68
501,136,67
501,137,66
501,138,65
501,139,64
501,140,63
501,141,62
501,142,61
501,143,60
501,144,59
501,145,58
501,146,57
501,147,56
501,148,55
501,149,54
501,150,53
501,151,52
501,152,51
501,153,50
501,154,49
501,155,48
501,156,47
501,157,46
501,158,45
501,159,44
501,160,43
501,161,42
501,162,41
501,163,40
501,164,39
501,165,38
501,166,37
501,167,36
501,168,35
501,169,34
501,170,33
501,171,32
501,172,31
501,173,30
501,174,29
501,175,28
501,176,27
501,177,26
501,178,25
501,179,24
501,180,23
501,181,22
501,182,21
501,183,20
501,184,19
501,185,18
501,186,17
501,187,16
501,188,15
501,189,14
501,190,13
501,191,12
501,192,11
501,193,10
501,194,9
501,195,8
501,196,7
501,197,6
501,198,5
501,199,4
501,200,3
501,201,2
501,202,1
501,203,0
502,1,159
502,2,158
502,3,157
502,4,156
502,5,155
502,6,154
502,7,153
502,8,152
502,9,151
502,10,150
502,11,149
502,12,148
502,13,147
502,14,146
502,15,145
502,16,144
502,17,143
502,18,142
502,19,141
502,20,140
502,21,139
502,22,138
502,23,137
502,24,136
502,25,135
502,26,134
502,27,133
502,28,132
502,29,131
502,30,130
502,31,129
502,32,128
502,33,127
502,34,126
502,35,125
502,36,124
502,37,123
502,38,122
502,39,121
502,40,120
502,41,119
502,42,118
502,43,117
502,44,116
502,45,115
502,46,114
502,47,113
502,48,112
502,49,111
502,50,110
502,51,109
502,52,108
502,53,107
502,54,106
502,55,105
502,56,104
502,57,103
502,58,102
502,59,101
502,60,100
502,61,99
502,62,98
502,63,97
502,64,96
502,65,95
502,66,94
502,67,93
502,68,92
502,69,91
502,70,90
502,71,89
502,72,88
502,73,87
502,74,86
502,75,85
502,76,84
502,77,83
502,78,82
502,79,81
502,80,80
502,81,79
502,82,78
502,83,77
502,84,76
502,85,75
502,86,74
502,87,73
502,88,72
502,89,71
502,90,70
502,91,69
502,92,68
502,93,67
502,94,66
502,95,65
502,96,64
502,97,63
502,98,62
502,99,61
502,100,60
502,101,59
502,102,58
502,103,57
502,104,56
502,105,55
502,106,54
502,107,53
502,108,52
502,109,51
502,110,50
502,111,49
502,112,48
502,113,47
502,114,46
502,115,45
502,116,44
502,117,43
502,118,42
502,119,41
502,120,40
502,121,39
502,122,38
502,123,37
502,124,36
502,125,35
502,126,34
502,127,33
502,128,32
502,129,31
502,130,30
502,131,29
502,132,28
502,133,27
502,134,26
502,135,25
502,136,24
502,137,23
502,138,22
502,139,21
502,140,20
502,141,19
502,142,18
502,143,17
502,144,16
502,145,15
502,146,14
502,147,13
502,148,12
502,149,11
502,150,10
502,151,9
502,152,8
502,153,7
502,154,6
502,155,5
502,156,4
502,157,3
502,158,2
502,159,1
502,160,0
503,1,187
503,2,186
503,3,185
503,4,184
503,5,183
503,6,182
503,7,181
503,8,180
503,9,179
503,10,178
503,11,177
503,12,176
503,13,175
503,14,174
503,15,173
503,16,172
503,17,171
503,18,170
503,19,169
503,20,168
503,21,167
503,22,166
503,23,165
503,24,164
503,25,163
503,26,162
503,27,161
503,28,160
503,29,159
503,30,158
503,31,157
503,32,156
503,33,155
503,34,154
503,35,153
503,36,152
503,37,151
503,38,150
503,39,149
503,40,148
503,41,147
503,42,146
503,43,145
503,44,144
503,45,143
503,46,142
503,47,141
503,48,140
503,49,139
503,50,138
503,51,137
503,52,136
503,53,135
503,54,134
503,55,133
503,56,132
503,57,131
503,58,130
503,59,129
503,60,128
503,61,127
503,62,126
503,63,125
503,64,124
503,65,123
503,66,122
503,67,121
503,68,120
503,69,119
503,70,118
503,71,117
503,72,116
503,73,115
503,74,114
503,75,113
503,76,112
503,77,111
503,78,110
503,79,109
503,80,108
503,81,107
503,82,106
503,83,105
503,84,104
503,85,103
503,86,102
503,87,101
503,88,100
503,89,99
503,90,98
503,91,97
503,92,96
503,93,95
503,94,94
503,95,93
503,96,92
503,97,91
503,98,90
503,99,89
503,100,88
503,101,87
503,102,86
503,103,85
503,104,84
503,105,83
503,106,82
503,107,81
503,108,80
503,109,79
503,110,78
503,111,77
503,112,76
503,113,75
503,114,74
503,115,73
503,116,72
503,117,71
503,118,70
503,119,69
503,120,68
503,121,67
503,122,66
503,123,65
503,124,64
503,125,63
503,126,62
503,127,61
503,128,60
503,129,59
503,130,58
503,131,57
503,132,56
503,133,55
503,134,54
503,135,53
503,136,52
503,137,51
503,138,50
503,139,49
503,140,48
503,141,47
503,142,46
503,143,45
503,144,44
503,145,43
503,146,42
503,147,41
503,148,40
503,149,39
503,150,38
503,151,37
503,152,36
503,153,35
503,154,34
503,155,33
503,156,32
503,157,31
503,158,30
503,159,29
503,160,28
503,161,27
503,162,26
503,163,25
503,164,24
503,165,23
503,166,22
503,167,21
503,168,20
503,169,19
503,170,18
503,171,17
503,172,16
503,173,15
503,174,14
503,175,13
503,176,12
503,177,11
503,178,10
503,179,9
503,180,8
503,181,7
503,182,6
503,183,5
503,184,4
503,185,3
503,186,2
503,187,1
503,188,0
504,1,130
504,2,129
504,3,128
504,4,127
504,5,126
504,6,125
504,7,124
504,8,123
504,9,122
504,10,121
504,11,120
504,12,119
504,13,118
504,14,117
504,15,116
504,16,115
504,17,114
504,18,113
504,19,112
504,20,111
504,21,110
504,22,109
504,23,108
504,24,107
504,25,106
504,26,105
504,27,104
504,28,103
504,29,102
504,30,101
504,31,100
504,32,99
504,33,98
504,34,97
504,35,96
504,36,95
504,37,94
504,38,93
504,39,92
504,40,91
504,41,90
504,42,89
504,43,88
504,44,87
504,45,86
504,46,85
504,47,84
504,48,83
504,49,82
504,50,81
504,51,80
504,52,79
504,53,78
504,54,77
504,55,76
504,56,75
504,57,74
504,58,73
504,59,72
504,60,71
504,61,70
504,62,69
504,63,68
504,64,67
504,65,66
504,66,65
504,67,64
504,68,63
504,69,62
504,70,61
504,71,60
504,72,59
504,73,58
504,74,57
504,75,56
504,76,55
504,77,54
504,78,53
504,79,52
504,80,51
504,81,50
504,82,49
504,83,48
504,84,47
504,85,46
504,86,45
504,87,44
504,88,43
504,89,42
504,90,41
504,91,40
504,92,39
504,93,38
504,94,37
504,95,36
504,96,35
504,97,34
504,98,33
504,99,32
504,100,31
504,101,30
504,102,29
504,103,28
504,104,27
504,105,26
504,106,25
504,107,24
504,108,23
504,109,22
504,110,21
504,111,20
504,112,19
504,113,18
504,114,17
504,115,16
504,116,15
504,117,14
504,118,13
504,119,12
504,120,11
504,121,10
504,122,9
504,123,8
504,124,7
504,125,6
504,126,5
504,127,4
504,128,3
504,129,2
504,130,1
504,131,0
505,1,194
505,2,193
505,3,192
505,4,191
505,5,190
505,6,189
505,7,188
505,8,187
505,9,186
505,10,185
505,11,184
505,12,183
505,13,182
505,14,181
505,15,180
505,16,179
505,17,178
505,18,177
505,19,176
505,20,175
505,21,174
505,22,173
505,23,172
505,24,171
505,25,170
505,26,169
505,27,168
505,28,167
505,29,166
