Feature,VIF
Nf_roll5_mean,278708119.2758029
Nf,278708084.77974975
P15_roll5_mean,149262529.07905138
P15,149262529.07905138
T24_roll5_mean,107848382.61825933
T24,107848209.58021252
P30,95455051.30122314
P30_roll5_mean,95454720.50974843
Nc,7900157.118730182
Nc_roll5_mean,7899719.918754781
T30_roll5_mean,7414197.459464013
T30,7414070.923432884
T50_roll5_mean,2629932.597545254
T50,2629868.909456518
op_setting_3,24.85107982525556
Nf_delta1,2.671273607863613
T30_delta1,2.660176006882461
Nc_delta1,2.6122917069673974
BPR,1.5144679687651341
W31,1.5014717674202862
htBleed,1.4468099389687397
W32,1.4059686235985525
phi,1.3698694285726905
T_ratio_30_50,1.2501818940425988
P_ratio_15_30,1.179348853684982
N_ratio_f_c,1.168957033156183
T_ratio_24_30,1.1565528627143975
health_index,1.1124079343708502
cycle_norm,1.007674311993991
op_setting_2,1.0003472761649406
op_setting_1,1.0003134592605019
